<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDRUB;60;20150121;000000;65.3795000
USDRUB;60;20150121;010000;65.4150000
USDRUB;60;20150121;020000;65.1900000
USDRUB;60;20150121;030000;65.0071000
USDRUB;60;20150121;040000;64.0627000
USDRUB;60;20150121;050000;64.6816000
USDRUB;60;20150121;060000;64.7296000
USDRUB;60;20150121;070000;65.1492000
USDRUB;60;20150121;080000;65.0489000
USDRUB;60;20150121;090000;65.0909000
USDRUB;60;20150121;100000;65.0492000
USDRUB;60;20150121;110000;65.0481000
USDRUB;60;20150121;120000;65.0919000
USDRUB;60;20150121;130000;65.2841000
USDRUB;60;20150121;140000;65.5585000
USDRUB;60;20150121;150000;65.7524000
USDRUB;60;20150121;160000;65.9011000
USDRUB;60;20150121;170000;65.7295000
USDRUB;60;20150121;180000;65.7839000
USDRUB;60;20150121;190000;65.7725000
USDRUB;60;20150121;200000;65.6615000
USDRUB;60;20150121;210000;65.2874000
USDRUB;60;20150121;220000;65.1883000
USDRUB;60;20150121;230000;65.2584000
USDRUB;60;20150122;000000;64.9799000
USDRUB;60;20150122;010000;65.2241000
USDRUB;60;20150122;020000;65.1425000
USDRUB;60;20150122;030000;65.1614000
USDRUB;60;20150122;040000;64.7067000
USDRUB;60;20150122;050000;64.6455000
USDRUB;60;20150122;060000;65.0289000
USDRUB;60;20150122;070000;65.0281000
USDRUB;60;20150122;080000;65.0287000
USDRUB;60;20150122;090000;65.0284000
USDRUB;60;20150122;100000;65.0846000
USDRUB;60;20150122;110000;65.0298000
USDRUB;60;20150122;120000;65.0295000
USDRUB;60;20150122;130000;64.8612000
USDRUB;60;20150122;140000;65.4146000
USDRUB;60;20150122;150000;65.4467000
USDRUB;60;20150122;160000;65.2683000
USDRUB;60;20150122;170000;65.0952000
USDRUB;60;20150122;180000;64.6325000
USDRUB;60;20150122;190000;64.7120000
USDRUB;60;20150122;200000;64.6578000
USDRUB;60;20150122;210000;64.5741000
USDRUB;60;20150122;220000;64.2296000
USDRUB;60;20150122;230000;63.9717000
USDRUB;60;20150123;000000;64.3514000
USDRUB;60;20150123;010000;64.2841000
USDRUB;60;20150123;020000;64.2154000
USDRUB;60;20150123;030000;63.7105000
USDRUB;60;20150123;040000;63.4906000
USDRUB;60;20150123;050000;64.9950000
USDRUB;60;20150123;060000;63.5514000
